team,bullpen_fip,bullpen_ip,num_relievers
ACL Cubs,4.75,12.0,1
ACL White Sox,4.9,35.3,1
Adelaide Giants,4.82,9.7,1
Albuquerque Isotopes,5.22,48.7,3
Arizona Diamondbacks,3.69,379.9,7
Athletics,4.02,376.0,12
Atlanta Braves,3.61,727.7,16
Baltimore Orioles,3.32,302.7,6
Binghamton Rumble Ponies,4.1,19.3,1
Boston Red Sox,3.88,354.7,7
Bravos de Leon,3.95,9.0,1
Bravos de Margarita,4.31,19.3,1
Buffalo Bisons,3.37,123.3,3
Cardenales de Lara,2.17,6.0,1
Caribes de Anzoategui,4.48,28.3,1
Charlotte Knights,4.19,133.3,5
Chicago Cubs,3.76,508.8,13
Chicago White Sox,4.64,253.3,11
Cincinnati Reds,4.16,311.3,10
Cleveland Guardians,2.69,388.4,9
Colorado Rockies,4.39,310.6,12
Columbus Clingstones,6.75,13.7,1
Columbus Clippers,4.23,65.0,3
Detroit Tigers,3.87,441.3,11
Diablos Rojos del Mexico,5.24,30.0,2
Dominican Republic,4.92,6.3,1
Durham Bulls,3.89,72.7,4
El Paso Chihuahuas,4.46,7.0,1
Gigantes de Carolina,5.31,44.0,2
Gigantes del Cibao,4.21,69.0,2
Gwinnett Stripers,4.33,307.4,8
Houston Astros,4.22,401.2,10
Indianapolis Indians,6.92,42.7,2
Indios de Mayaguez,4.69,26.3,1
Iowa Cubs,4.24,145.7,4
Jacksonville Jumbo Shrimp,5.67,6.0,1
Jaguares de Nayarit,6.72,11.0,1
Kansas City Royals,3.51,530.4,14
Knoxville Smokies,3.36,15.7,1
Las Vegas Aviators,2.64,52.3,1
Lehigh Valley IronPigs,4.54,35.7,3
Leones del Caracas,7.39,17.3,1
Leones del Escogido,4.79,98.0,3
Los Angeles Angels,4.36,500.5,16
Los Angeles Dodgers,3.57,519.5,15
Louisville Bats,4.52,107.6,4
Memphis Redbirds,4.95,120.6,4
Mexico Rojo,6.16,6.7,1
Miami Marlins,3.65,268.0,10
Milwaukee Brewers,4.39,286.3,10
Minnesota Twins,3.44,166.0,3
Naranjeros de Hermosillo,5.08,23.0,1
Nashville Sounds,4.46,62.0,6
Navegantes del Magallanes,8.42,12.0,1
New York Mets,3.27,379.7,11
New York Yankees,4.37,447.1,10
Norfolk Tides,3.61,136.3,5
Oakland Athletics,3.96,49.3,1
Oklahoma City Baseball Club,3.17,5.0,1
Oklahoma City Comets,4.78,179.3,6
Omaha Storm Chasers,4.31,106.7,4
Panama,9.03,8.7,1
Philadelphia Phillies,4.14,555.4,13
Pittsburgh Pirates,4.23,286.7,10
Reading Fightin Phils,3.34,12.0,1
Reno Aces,4.19,244.9,10
Rochester Red Wings,4.59,24.0,2
Round Rock Express,3.98,206.3,5
Sacramento River Cats,3.83,161.4,5
Salt Lake Bees,4.61,24.3,1
San Diego Padres,3.05,433.4,11
San Francisco Giants,3.54,354.0,9
Scranton/Wilkes-Barre RailRiders,3.12,20.7,1
Seattle Mariners,3.93,308.3,11
Somerset Patriots,7.7,17.0,1
St. Louis Cardinals,3.77,372.8,11
St. Paul Saints,5.59,76.4,6
Sugar Land Space Cowboys,5.62,56.4,2
Syracuse Mets,4.3,91.6,4
Tacoma Rainiers,4.87,19.4,2
Tampa Bay Rays,3.37,400.8,10
Tecos de los Dos Laredos,4.0,13.3,1
Texas Rangers,3.53,333.4,10
Tiburones de La Guaira,6.07,10.7,1
Tigres del Licey,6.6,25.7,1
Toledo Mud Hens,4.47,137.3,5
Tomateros de Culiacan,5.96,23.3,1
Toronto Blue Jays,3.89,447.9,12
Toros de Tijuana,5.27,46.3,4
Toros del Este,5.05,61.1,4
Washington Nationals,5.6,57.6,5
Worcester Red Sox,5.3,97.6,3
