team,division,additions,subtractions,proj_war_gained,proj_war_lost,net_proj_war
BAL,AL East,22,15,13.0,3.6,9.4
PIT,NL Central,19,11,7.0,1.6,5.4
LAD,NL West,16,10,6.6,1.2,5.4
COL,NL West,23,13,6.7,1.4,5.3
CWS,AL Central,25,17,7.7,2.8,4.9
SF,NL West,20,9,7.3,2.5,4.8
ATH,AL West,21,9,5.3,1.2,4.1
AZ,NL West,23,10,5.2,2.1,3.1
DET,AL Central,15,12,5.9,3.0,2.9
ATL,NL East,26,17,5.4,3.1,2.3
LAA,AL West,23,13,6.3,4.7,1.6
MIN,AL Central,22,18,3.7,2.1,1.6
TOR,AL East,19,13,10.3,9.1,1.2
MIA,NL East,23,13,3.8,3.5,0.3
TB,AL East,30,23,8.6,8.4,0.2
CLE,AL Central,9,6,0.4,0.3,0.1
SEA,AL West,22,16,4.8,5.2,-0.4
NYM,NL East,34,23,16.9,17.6,-0.7
BOS,AL East,32,31,13.0,13.7,-0.7
KC,AL Central,19,13,3.3,4.3,-1.0
WSH,NL East,28,13,3.9,4.9,-1.0
NYY,AL East,25,16,1.2,2.4,-1.2
CIN,NL Central,15,12,3.4,5.0,-1.6
HOU,AL West,19,14,4.9,7.9,-3.0
CHC,NL Central,21,17,7.8,11.4,-3.6
TEX,AL West,22,24,8.4,12.4,-4.0
PHI,NL East,20,12,2.0,7.0,-5.0
SD,NL West,22,10,2.9,8.7,-5.8
MIL,NL Central,17,13,4.2,10.2,-6.0
STL,NL Central,20,8,2.8,9.0,-6.2
