team,batting_war,pitching_war,total_war
ATL,41.3,16.3,57.6
TB,31.5,17.8,49.3
SEA,27.5,18.6,46.1
TEX,35.1,10.6,45.7
PHI,22.3,23.4,45.7
LAD,30.3,15.2,45.5
MIN,22.8,21.3,44.1
TOR,25.2,17.7,42.9
SD,23.7,18.7,42.4
CHC,24.7,16.6,41.3
HOU,27.0,14.2,41.2
BAL,22.3,18.7,41.0
MIL,18.4,16.0,34.4
AZ,19.9,12.3,32.2
SF,14.3,15.2,29.5
CIN,15.7,13.3,29.0
BOS,15.2,13.7,28.9
LAA,17.1,10.5,27.6
NYY,13.7,13.6,27.3
CLE,13.7,13.5,27.2
MIA,8.4,17.4,25.8
STL,17.4,8.1,25.5
DET,11.5,13.5,25.0
NYM,16.1,7.0,23.1
PIT,12.4,10.1,22.5
KC,11.7,3.2,14.9
WSH,7.8,4.2,12.0
CWS,2.6,6.5,9.1
COL,2.9,5.9,8.8
ATH,5.1,1.4,6.5
