player_id,player_name,war_override,prospect_rank,source
837227,Tatsuya Imai,2.0,,NPB translation — 3x All-Star RHP (Seibu Lions); 1.92 ERA in 2025
808959,Munetaka Murakami,1.9,,NPB translation — former Triple Crown/56 HR (2022); FanGraphs projects .231/.333/.458
608372,Tomoyuki Sugano,0.5,,MLB/NPB — pitched 157 IP for BAL in 2025 (4.64 ERA); now at Coors age 36
672960,Kazuma Okamoto,1.8,,NPB translation — 6x All-Star slugger (Yomiuri); elite 11% K rate in 2025
823550,Sung-Mun Song,0.8,,KBO translation — .315/.387/.530 in KBO 2025; utility role in SD
666201,Alek Manoah,1.0,,MLB comeback — 2.24 ERA in 2022 (3rd Cy Young); returning from elbow surgery
678877,Jhonkensy Noel,0.3,,MLB — 13 HR in 45 G (2024) then .162 avg in 2025; elite raw power but high variance
694388,Joey Loperfido,0.5,,MLB — .333/.367/.512 in 41 G for TOR (.431 BABIP unsustainable)
682668,Luisangel Acuña,,66,MLB Pipeline 2024 — 2B/SS with elite speed; .248/.299/.341 in 233 MLB PA
682254,Mason Montgomery,0.5,,MLB — 5.67 ERA but 30.1% K rate in 46 IP for TB; elite stuff (98.7 mph avg FB)
702518,Jett Williams,,71,BA 2026 preseason — SS/2B/CF; .261/.363/.465 at AA/AAA with 34 SB
695670,Harry Ford,,42,MLB Pipeline — C; 12th overall pick (2021); above-avg arm; developing bat
691740,Daniel Susac,,100,Rule 5 from ATH to SF via MIN — C; .275/.349/.483 at AAA; org rank #11
683357,Owen Caissie,,47,MLB Pipeline — OF with plus raw power; 22 HR at AAA; Marlins OF candidate
